first_moment,second_moment,third_moment,tcp_cov,udp_peaks,label
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.64,0.768374908,-0.910860997,3,0,0
0.638089219,0.76694756,-0.909134886,2.982422475,0,0
0.397608494,0.848089252,-0.778280079,2.00679078,0,0
0.288886107,0.809865866,-0.659097002,1.696148799,1,0
0.173303639,0.765658042,-0.487970149,1.348978369,1,0
-0.001407734,0.77726828,0.316027426,1.100456166,2,0
-0.10531372,0.7652931,0.484888259,0.902052632,3,0
-0.130966765,0.756011624,0.500539883,0.732616441,4,0
-0.084532571,0.753613276,0.431026746,0.576885856,5,0
0.028038335,0.734970991,-0.263846468,0.419699739,6,0
0.042223472,0.674022358,-0.399998734,0.234046148,0,0
0.205984638,0.69410377,-0.605765064,0.235328937,0,0
0.41029048,0.636112623,-0.725724821,0.226856856,0,0
-0.544332605,0.520662979,0.547326318,0.022486237,0,0
-0.551746452,0.514320038,0.533285502,0.021022551,0,0
-0.546684768,0.513821015,0.533032362,0.02098501,0,0
-0.543262514,0.511199163,0.529822557,0.020543036,0,0
-0.5359511,0.507307895,0.527028565,0.020099029,0,0
-0.535964426,0.506721175,0.525818492,0.02029182,0,0
-0.456801524,0.525858882,0.524554642,0.015228954,0,0
-0.502442372,0.509759273,0.523163375,0.015045218,0,0
-0.260597912,0.550449033,0.445160525,0.018492615,0,0
-0.105332371,0.593050376,0.278689386,0.030649357,0,0
-0.202370554,0.605447,0.459497218,0.03554038,0,0
-0.228895291,0.586035436,0.476680982,0.035173602,0,0
-0.331051879,0.547163883,0.531565744,0.035981209,0,0
-0.344887769,0.543720018,0.537250188,0.03580798,0,0
-0.336333804,0.548599119,0.533842754,0.035788229,0,0
-0.419522084,0.563587189,0.555120829,0.042495965,0,0
-0.416438781,0.562230493,0.555642164,0.042676292,0,0
-0.396310005,0.544340744,0.557035477,0.042926156,0,0
-0.389049315,0.511160982,0.550055981,0.041509841,0,0
-0.486513972,0.498748545,0.532940596,0.035957332,0,0
-0.580959453,0.50632868,0.52605433,0.025216156,0,0
-0.557253335,0.49994753,0.525014649,0.025657903,0,0
-0.579972794,0.501433453,0.526516048,0.025505471,0,0
-0.572332037,0.497167045,0.525465651,0.025448506,0,0
-0.556354661,0.494143821,0.524798209,0.025740819,0,0
0.052594376,0.552950221,-0.30482738,0.021344973,0,0
0.045389385,0.553896885,-0.287886947,0.021288985,0,0
-0.017480411,0.552023931,0.244337341,0.021322186,0,0
0.088685383,0.556713135,-0.364491522,0.021899045,0,0
-0.431644998,0.565255827,0.554191905,0.008119148,0,0
-0.402332763,0.582262107,0.552429933,0.008593508,0,0
-0.467376284,0.54456774,0.551919488,0.008081922,0,0
-0.462320593,0.536553619,0.545947787,0.008019279,0,0
-0.444503056,0.526599151,0.509646039,0.01067058,0,0
-0.352480776,0.551677876,0.515411347,0.014043342,0,0
-0.443653487,0.514526988,0.52906376,0.013071425,0,0
-0.387958722,0.564645975,0.564568095,0.014948387,0,0
-0.262728367,0.552274623,0.443196281,0.023499722,0,0
-0.200315088,0.646271862,0.477369695,0.023519454,0,0
-0.349927323,0.606033736,0.54643587,0.023335086,0,0
-0.38350229,0.589336022,0.544149788,0.028258285,0,0
-0.521929439,0.52647578,0.547664263,0.026040689,0,0
-0.504890728,0.530656419,0.551777403,0.02319114,0,0
-0.545468252,0.520784503,0.551410744,0.021496438,0,0
-0.565022076,0.518891813,0.546383926,0.021128622,0,0
-0.486464285,0.511012704,0.533829772,0.016710599,0,0
-0.195713212,0.595617419,0.392289208,0.014916618,0,0
-0.157337384,0.571739087,0.348957057,0.014329651,0,0
-0.128472643,0.584612509,0.304666637,0.01441769,0,0
-0.220521946,0.568669239,0.422792667,0.01442082,0,0
-0.39775967,0.559243903,0.522958161,0.010292466,0,0
-0.162837083,0.572234309,0.38897689,0.017880423,0,0
-0.065583568,0.541755648,0.286772858,0.017632171,0,0
-0.098752597,0.601918441,0.334332946,0.018106905,0,0
-0.171715169,0.560973755,0.396919376,0.01677782,0,0
-0.281314875,0.523374539,0.452991647,0.016449862,0,0
-0.372216546,0.524695832,0.491287238,0.016061401,0,0
-0.507774908,0.513614851,0.528109822,0.018327432,0,0
-0.51168375,0.529470662,0.551919552,0.019469993,0,0
-0.505828066,0.529192947,0.55217261,0.019598881,0,0
-0.477798066,0.528795229,0.549394717,0.020328145,0,0
-0.516530508,0.510852604,0.539284345,0.015494713,0,0
-0.516979183,0.510891618,0.539345697,0.015432291,0,0
-0.519679317,0.502873076,0.526837187,0.013847292,0,0
-0.534058161,0.508871409,0.530025308,0.014026459,0,0
-0.550982119,0.505338075,0.532289691,0.013949139,0,0
-0.546680711,0.507383877,0.538293225,0.015094154,0,0
0.474726026,0.668212875,-0.782215363,0.282035162,1,0
0.553412669,0.715034094,-0.843953587,0.280905724,1,0
0.413224909,0.632978094,-0.731871713,0.284089119,1,0
0.412992896,0.632858961,-0.731668904,0.284055477,1,0
0.412156182,0.632421102,-0.730942615,0.28393231,1,0
0.411591771,0.632122149,-0.730454942,0.28384776,1,0
0.408544575,0.630375409,-0.727919769,0.283580189,1,0
0.404393219,0.628028935,-0.724434749,0.283026897,1,0
0.423671719,0.6393138,-0.74017462,0.284819539,1,0
0.416245347,0.634857514,-0.734197493,0.283917278,1,0
-0.198246091,0.603138605,0.432486083,0.018534662,0,0
-0.319216153,0.53782983,0.465873893,0.020049081,0,0
-0.404311056,0.526591412,0.553907301,0.013268624,0,0
-0.450760872,0.540488313,0.555990539,0.012564608,0,0
-0.474763852,0.558211097,0.553692832,0.012084701,0,0
-0.445041801,0.576222338,0.548028211,0.015492648,0,0
-0.432169558,0.579134994,0.550161755,0.015780117,0,0
-0.524739947,0.532048221,0.546399056,0.019074886,0,0
-0.523726634,0.528246383,0.533978055,0.018503448,0,0
-0.514947384,0.502207262,0.523604957,0.028981593,0,0
-0.517906866,0.524490084,0.557876396,0.032237899,0,0
-0.418009106,0.573319907,0.591702872,0.03606851,0,0
-0.350086621,0.614360607,0.594303018,0.039788428,0,0
-0.214048391,0.67969417,0.558434024,0.040725721,0,0
-0.068742817,0.71561439,0.398998113,0.039109382,0,0
0.016862918,0.733317002,-0.331909107,0.039257304,0,0
0.171741395,0.700233443,-0.582197195,0.035373873,0,0
0.13017256,0.593150138,-0.453379122,0.021684155,0,0
-0.272259381,0.564478114,0.461386478,0.008881119,0,0
-0.313738276,0.551300302,0.479151884,0.008863481,0,0
-0.301875938,0.548516131,0.473984409,0.0089642,0,0
-0.346127232,0.546323884,0.4913878,0.008918993,0,0
-0.336161837,0.55001282,0.489755767,0.008552772,0,0
-0.465294033,0.504214031,0.511303683,0.007847364,0,0
-0.553039259,0.506418429,0.53473555,0.008053896,0,0
-0.477241596,0.510879891,0.535975004,0.010480391,0,0
-0.431901812,0.52831919,0.522914517,0.015114585,0,0
-0.382293482,0.509872734,0.501924872,0.014935811,0,0
-0.364020364,0.558352975,0.540459581,0.017053186,0,0
-0.343820201,0.550664772,0.482581653,0.023410768,0,0
-0.408435488,0.561670121,0.537052652,0.026441257,0,0
-0.325016822,0.54477797,0.476479281,0.037755185,0,0
-0.280665399,0.616347194,0.509032481,0.038125588,0,0
-0.350455765,0.562557193,0.501606654,0.036981689,0,0
